PersonnelCode;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101266;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;261773,4357;244815,66;93,52196465
101266;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;15412,9674;13390,65;86,87911715
101267;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;22723,56716;16499,84;72,61113487
101267;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;110446,7612;99541,12;90,12588412
101267;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;131465,4666;110152;83,78778307
101269;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;20338,6197;13495,02;66,35170036
101269;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;83622,13391;61716,8;73,80438302
101269;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;90055,99724;72952,18;81,00757555
101270;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;20672,13719;3893,82;18,83607855
101270;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;96042,88834;83786,88;87,23902566
101270;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;106249,0149;105529,34;99,32265263
101273;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ELEKTRA PLUS JEL;119716,401;71155,08;59,43636745
101273;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;HIRUDOID;122135,3742;87283,28013;71,46437359
101273;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MODET;45712,21318;31287,77;68,44509994
101274;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;36868,52402;32064,52;86,96990414
101274;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;258055,5763;273790,53;106,0975058
101274;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;MAGNIS;14893,45759;12558;84,31890263
101276;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;BRONCHOREST;21946,326;29052,52;132,3798799
101276;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;DICLOFLAM;138736,1886;123384,64;88,9347194
101276;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;PARAFON/X;192542,3039;228703,58;118,7809512
101277;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLUREND;43753,68589;46820,76;107,0098645
101277;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ILIADIN;225039,1693;245206,07;108,9615069
