Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100287;BSMv2 - Primsiz Ürün Stok Seviyesi – (Mutlak Sapma (%));1;30,00;31,02;103,40
100666;BSMv2 - Primsiz Ürün Stok Seviyesi – (Mutlak Sapma (%));1;30,00;28,07;93,58
100310;BSMv2 - Primsiz Ürün Stok Seviyesi – (Mutlak Sapma (%));1;30,00;32,07;106,90
100157;BSMv2 - Primsiz Ürün Stok Seviyesi – (Mutlak Sapma (%));1;30,00;31,10;103,67
100823;BSMv2 - Primsiz Ürün Stok Seviyesi – (Mutlak Sapma (%));1;30,00;29,82;99,39
100301;BSMv2 - Primsiz Ürün Stok Seviyesi – (Mutlak Sapma (%));1;30,00;31,36;104,53
