Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
101117;MMv2 - SF Net Master Satýþ Realizasyonu;1;72962231;84320836,2;115,5677877
101125;MMv2 - SF Net Master Satýþ Realizasyonu;1;106272190;108140733;101,7582615
101402;MMv2 - SF Net Master Satýþ Realizasyonu;1;150143632,5;129955324;86,55400286
102022;MMv2 - SF Net Master Satýþ Realizasyonu;1;114604437,6;118207939,6;103,1442953
102204;MMv2 - SF Net Master Satýþ Realizasyonu;1;89827451;95756576;106,6005714
101960;MMv2 - SF Net Master Satýþ Realizasyonu;1;28455344;32267724;113,3977646
102205;MMv2 - SF Net Master Satýþ Realizasyonu;1;52786764;55066981;104,3196757
