Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1879495,18;2294877,08;122,1
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;10442974,63;10055685,26;96,29
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;389196,2;387666,08;99,61
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;361705,82;359741,36;99,46
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT  ;92190,5;119335,34;129,44
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1700770,22;2177481,79;128,03
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;6464934,02;6085188,28;94,13
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;446843,8;476404,24;106,62
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;307643,59;433179,12;140,81
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT  ;92844,34;157942,79;170,12
100493;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1716871,83;2337044,36;136,12
100493;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;10073955,05;9877587,38;98,05
100493;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;427603,51;458106,32;107,13
100493;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;394499,75;411505,16;104,31
100493;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT  ;118605,37;165593,4;139,62
100246;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1221142,19;1232852,03;100,96
100246;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;5671943,19;5653423,26;99,67
100246;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;399802,9;272240,64;68,09
100246;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;292244,26;428827,96;146,74
100246;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT  ;95532,9;182396,39;190,93
100313;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1099523,77;1099911,6;100,04
100313;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;6127003,86;6188753,35;101,01
100313;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;367639,48;299721,28;81,53
100313;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;287053,4;251398,84;87,58
100313;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT  ;94805,84;166807,22;175,95
100302;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;489926,84;538147,21;109,84
100302;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;2579470,8;2670658,12;103,54
100302;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;121473,35;126768,8;104,36
100302;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;259360,47;294351,2;113,49
100419;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1531561,91;1561260,13;101,94
100419;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;7113908,34;6399385,53;89,96
100419;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;353432,77;367393,2;103,95
100419;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;296412,52;342705;115,62
100419;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT  ;103305,67;181430,65;175,63
100234;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1523869,62;1737907,16;114,05
100234;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;8009334,02;7658510,75;95,62
100234;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS  ;360235,59;352910,16;97,97
100234;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PINIX  ;348448,44;317402,8;91,09
100234;BTMv1 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT  ;122920,67;178258,77;145,02
