Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Gerçekleşme (%)
100289;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;139599493;144304500;103,37
100454;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;131757843;115306812;87,51
100970;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;165265283,9;154875662;93,71
101897;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;122592048;116912141;95,37
100264;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;174549600,4;175686280;100,65
100421;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;66175370;57505142;86,9
