Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Gerçekleşme (%)
100289;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;139599493;144304500;103,3703611
100454;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;131757843;115306812;87,51419223
100970;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;165265283,9;154875662;93,71336701
101897;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;103808734,2;103407867,2;99,61384083
100264;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;174549600,4;175686280;100,6512072
100421;TDv2 - Toplam Net TL Master Kota Realizasyonu;1;66175370;57505142;86,89810423
