Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100522;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100525;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100528;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100529;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100540;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100579;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100584;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100650;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100658;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100661;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100668;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100674;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100675;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100686;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100718;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100766;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100862;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100950;TSMv2 - Medikal Sınav Başarısı;1;100;80;80
101020;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
101023;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101264;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
101276;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101279;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101329;TSMv2 - Medikal Sınav Başarısı;1;100;66;66
101547;TSMv2 - Medikal Sınav Başarısı;1;100;82;82
101562;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101568;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101661;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101666;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101796;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101810;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101816;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101817;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101818;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101829;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
101841;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101909;TSMv2 - Medikal Sınav Başarısı;1;100;78;78
101914;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101924;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101925;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101982;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102137;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102140;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102260;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102261;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102262;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
102263;TSMv2 - Medikal Sınav Başarısı;1;100;86;86
102264;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102289;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
102357;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102360;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102366;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102367;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
102381;TSMv2 - Medikal Sınav Başarısı;1;100;80;80
102385;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102392;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100102;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100121;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100166;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100195;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100248;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100265;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100288;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
100292;TSMv2 - Medikal Sınav Başarısı;1;100;86;86
100315;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100321;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
100341;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100453;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100487;TSMv2 - Medikal Sınav Başarısı;1;100;84;84
100514;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100527;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100577;TSMv2 - Medikal Sınav Başarısı;1;100;86;86
100592;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100669;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100797;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100799;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101487;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
101553;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
101696;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101824;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
102128;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102254;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102285;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
102535;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102536;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102539;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102540;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102362;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102365;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102375;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102377;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102543;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102554;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100199;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
100200;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100260;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100261;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
100294;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100296;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100327;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100334;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100344;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100398;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100404;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100459;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100470;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100503;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100530;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100539;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100596;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100624;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100657;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100716;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100768;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100770;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100782;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100801;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100879;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101262;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
101546;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101555;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101559;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101560;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101658;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101691;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101795;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101807;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
101811;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101821;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101823;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101832;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101842;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101937;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101938;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101939;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101940;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101944;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101946;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101947;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101948;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101949;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101950;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101952;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
102141;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102244;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102246;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102251;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
102255;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102258;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102276;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
102277;TSMv2 - Medikal Sınav Başarısı;1;100;86;86
102355;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102364;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102370;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102373;TSMv2 - Medikal Sınav Başarısı;1;100;82;82
102379;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102386;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
102390;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
102394;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
102395;TSMv2 - Medikal Sınav Başarısı;1;100;78;78
102401;TSMv2 - Medikal Sınav Başarısı;1;100;80;80
102402;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
102404;TSMv2 - Medikal Sınav Başarısı;1;100;90;90
100164;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100205;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100241;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100276;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100312;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100337;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100338;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100380;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100384;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100443;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
100494;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100497;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100499;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100500;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100512;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100518;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100521;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100523;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100535;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100541;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100565;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100569;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100585;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100589;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100594;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
100617;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100627;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100664;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100679;TSMv2 - Medikal Sınav Başarısı;1;100;88;88
100680;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100681;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100682;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100688;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100691;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100704;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100721;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100724;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100763;TSMv2 - Medikal Sınav Başarısı;1;100;84;84
100765;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100772;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
100775;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100867;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
100915;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100932;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
100934;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
100942;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101261;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101266;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101274;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101277;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101498;TSMv2 - Medikal Sınav Başarısı;1;100;100;100
101561;TSMv2 - Medikal Sınav Başarısı;1;100;92;92
101671;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101673;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101675;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101800;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101801;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101812;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101852;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101916;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101926;TSMv2 - Medikal Sınav Başarısı;1;100;98;98
101935;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
101953;TSMv2 - Medikal Sınav Başarısı;1;100;94;94
101981;TSMv2 - Medikal Sınav Başarısı;1;100;96;96
