Çalışan Sicil;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100204;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
100242;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100253;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
100298;TSMv2 - Medikal Sınav Başarısı;1;93,79;90;95,96
100322;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
100328;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100333;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
100335;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
100355;TSMv2 - Medikal Sınav Başarısı;1;93,79;90;95,96
100357;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
100379;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100392;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100422;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
100460;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
100461;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100465;TSMv2 - Medikal Sınav Başarısı;1;93,79;100;106,62
100502;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
100509;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
100515;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
100522;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100525;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
100528;TSMv2 - Medikal Sınav Başarısı;1;93,79;100;106,62
100529;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
100540;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100579;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
100584;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100650;TSMv2 - Medikal Sınav Başarısı;1;93,79;100;106,62
100658;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
100661;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
100668;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
100674;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
100675;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
100686;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100718;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100766;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
100862;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
100950;TSMv2 - Medikal Sınav Başarısı;1;93,79;80;85,3
101020;TSMv2 - Medikal Sınav Başarısı;1;93,79;88;93,83
101023;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
101264;TSMv2 - Medikal Sınav Başarısı;1;93,79;88;93,83
101276;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
101279;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
101329;TSMv2 - Medikal Sınav Başarısı;1;93,79;66;70,37
101547;TSMv2 - Medikal Sınav Başarısı;1;93,79;82;87,43
101562;TSMv2 - Medikal Sınav Başarısı;1;93,79;100;106,62
101568;TSMv2 - Medikal Sınav Başarısı;1;93,79;100;106,62
101661;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
101666;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
101796;TSMv2 - Medikal Sınav Başarısı;1;93,79;100;106,62
101810;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
101816;TSMv2 - Medikal Sınav Başarısı;1;93,79;100;106,62
101817;TSMv2 - Medikal Sınav Başarısı;1;93,79;90;95,96
101818;TSMv2 - Medikal Sınav Başarısı;1;93,79;90;95,96
101829;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
101841;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
101909;TSMv2 - Medikal Sınav Başarısı;1;93,79;78;83,16
101914;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
101924;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
101925;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
101982;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
102137;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
102140;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
102260;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
102261;TSMv2 - Medikal Sınav Başarısı;1;93,79;98;104,49
102262;TSMv2 - Medikal Sınav Başarısı;1;93,79;88;93,83
102263;TSMv2 - Medikal Sınav Başarısı;1;93,79;86;91,69
102264;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
102289;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
102357;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
102360;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
102366;TSMv2 - Medikal Sınav Başarısı;1;93,79;96;102,36
102367;TSMv2 - Medikal Sınav Başarısı;1;93,79;92;98,09
102381;TSMv2 - Medikal Sınav Başarısı;1;93,79;80;85,3
102385;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
102392;TSMv2 - Medikal Sınav Başarısı;1;93,79;94;100,22
100102;TSMv2 - Medikal Sınav Başarısı;1;93,48;98;104,83
100121;TSMv2 - Medikal Sınav Başarısı;1;93,48;98;104,83
100166;TSMv2 - Medikal Sınav Başarısı;1;93,48;98;104,83
100195;TSMv2 - Medikal Sınav Başarısı;1;93,48;96;102,69
100248;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
100265;TSMv2 - Medikal Sınav Başarısı;1;93,48;100;106,97
100288;TSMv2 - Medikal Sınav Başarısı;1;93,48;90;96,27
100292;TSMv2 - Medikal Sınav Başarısı;1;93,48;86;91,99
100315;TSMv2 - Medikal Sınav Başarısı;1;93,48;98;104,83
100321;TSMv2 - Medikal Sınav Başarısı;1;93,48;88;94,13
100341;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
100453;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
100487;TSMv2 - Medikal Sınav Başarısı;1;93,48;84;89,86
100514;TSMv2 - Medikal Sınav Başarısı;1;93,48;94;100,55
100527;TSMv2 - Medikal Sınav Başarısı;1;93,48;98;104,83
100577;TSMv2 - Medikal Sınav Başarısı;1;93,48;86;91,99
100592;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
100669;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
100797;TSMv2 - Medikal Sınav Başarısı;1;93,48;100;106,97
100799;TSMv2 - Medikal Sınav Başarısı;1;93,48;94;100,55
101487;TSMv2 - Medikal Sınav Başarısı;1;93,48;88;94,13
101553;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
101696;TSMv2 - Medikal Sınav Başarısı;1;93,48;90;96,27
101824;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
102128;TSMv2 - Medikal Sınav Başarısı;1;93,48;94;100,55
102254;TSMv2 - Medikal Sınav Başarısı;1;93,48;94;100,55
102285;TSMv2 - Medikal Sınav Başarısı;1;93,48;92;98,41
102535;TSMv2 - Medikal Sınav Başarısı;1;93,48;96;102,69
102536;TSMv2 - Medikal Sınav Başarısı;1;93,48;100;106,97
102539;TSMv2 - Medikal Sınav Başarısı;1;93,48;96;102,69
102540;TSMv2 - Medikal Sınav Başarısı;1;93,48;96;102,69
102362;TSMv2 - Medikal Sınav Başarısı;1;96,67;96;99,31
102365;TSMv2 - Medikal Sınav Başarısı;1;96,67;96;99,31
102375;TSMv2 - Medikal Sınav Başarısı;1;96,67;96;99,31
102377;TSMv2 - Medikal Sınav Başarısı;1;96,67;96;99,31
102543;TSMv2 - Medikal Sınav Başarısı;1;96,67;96;99,31
102554;TSMv2 - Medikal Sınav Başarısı;1;96,67;100;103,45
100199;TSMv2 - Medikal Sınav Başarısı;1;94,29;88;93,33
100200;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
100260;TSMv2 - Medikal Sınav Başarısı;1;94,29;92;97,58
100261;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
100294;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
100296;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
100327;TSMv2 - Medikal Sınav Başarısı;1;94,29;92;97,58
100334;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
100344;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
100398;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100404;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100459;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
100470;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100503;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100530;TSMv2 - Medikal Sınav Başarısı;1;94,29;92;97,58
100539;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
100596;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
100624;TSMv2 - Medikal Sınav Başarısı;1;94,29;92;97,58
100657;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100716;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
100768;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100770;TSMv2 - Medikal Sınav Başarısı;1;94,29;92;97,58
100782;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100801;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
100879;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
101262;TSMv2 - Medikal Sınav Başarısı;1;94,29;88;93,33
101546;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
101555;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
101559;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
101560;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
101658;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
101691;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101795;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
101807;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
101811;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
101821;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101823;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
101832;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101842;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101937;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
101938;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
101939;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
101940;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
101944;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101946;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101947;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
101948;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101949;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
101950;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
101952;TSMv2 - Medikal Sınav Başarısı;1;94,29;88;93,33
102141;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
102244;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
102246;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
102251;TSMv2 - Medikal Sınav Başarısı;1;94,29;98;103,94
102255;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
102258;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
102276;TSMv2 - Medikal Sınav Başarısı;1;94,29;100;106,06
102277;TSMv2 - Medikal Sınav Başarısı;1;94,29;86;91,21
102355;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
102364;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
102370;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
102373;TSMv2 - Medikal Sınav Başarısı;1;94,29;82;86,97
102379;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
102386;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
102390;TSMv2 - Medikal Sınav Başarısı;1;94,29;96;101,82
102394;TSMv2 - Medikal Sınav Başarısı;1;94,29;88;93,33
102395;TSMv2 - Medikal Sınav Başarısı;1;94,29;78;82,73
102401;TSMv2 - Medikal Sınav Başarısı;1;94,29;80;84,85
102402;TSMv2 - Medikal Sınav Başarısı;1;94,29;94;99,7
102404;TSMv2 - Medikal Sınav Başarısı;1;94,29;90;95,45
100164;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100205;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100241;TSMv2 - Medikal Sınav Başarısı;1;96,05;100;104,11
100276;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100312;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100337;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100338;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100380;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100384;TSMv2 - Medikal Sınav Başarısı;1;96,05;100;104,11
100443;TSMv2 - Medikal Sınav Başarısı;1;96,05;92;95,78
100494;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100497;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100499;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
100500;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
100512;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100518;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100521;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100523;TSMv2 - Medikal Sınav Başarısı;1;96,05;100;104,11
100535;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
100541;TSMv2 - Medikal Sınav Başarısı;1;96,05;100;104,11
100565;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100569;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100585;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100589;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100594;TSMv2 - Medikal Sınav Başarısı;1;96,05;88;91,62
100617;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100627;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100664;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100679;TSMv2 - Medikal Sınav Başarısı;1;96,05;88;91,62
100680;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100681;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100682;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100688;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100691;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100704;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100721;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100724;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100763;TSMv2 - Medikal Sınav Başarısı;1;96,05;84;87,45
100765;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100772;TSMv2 - Medikal Sınav Başarısı;1;96,05;100;104,11
100775;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100867;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
100915;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100932;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
100934;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
100942;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
101261;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
101266;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
101274;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
101277;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
101498;TSMv2 - Medikal Sınav Başarısı;1;96,05;100;104,11
101561;TSMv2 - Medikal Sınav Başarısı;1;96,05;92;95,78
101671;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
101673;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
101675;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
101800;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
101801;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
101812;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
101852;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
101916;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
101926;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
101935;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
101953;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
101981;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
102119;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
102142;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
102145;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
102245;TSMv2 - Medikal Sınav Başarısı;1;96,05;78;81,21
102295;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
102358;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
102371;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
102372;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
102374;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
102378;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
102380;TSMv2 - Medikal Sınav Başarısı;1;96,05;98;102,03
102382;TSMv2 - Medikal Sınav Başarısı;1;96,05;96;99,95
102388;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
102389;TSMv2 - Medikal Sınav Başarısı;1;96,05;80;83,29
102396;TSMv2 - Medikal Sınav Başarısı;1;96,05;94;97,87
100177;TSMv2 - Medikal Sınav Başarısı;1;93,85;100;106,56
100202;TSMv2 - Medikal Sınav Başarısı;1;93,85;94;100,16
100214;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,92;102,2
100233;TSMv2 - Medikal Sınav Başarısı;1;93,85;77,67;82,76
100254;TSMv2 - Medikal Sınav Başarısı;1;93,85;94;100,16
100263;TSMv2 - Medikal Sınav Başarısı;1;93,85;98;104,43
100286;TSMv2 - Medikal Sınav Başarısı;1;93,85;85,84;91,46
100325;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,92;102,2
100330;TSMv2 - Medikal Sınav Başarısı;1;93,85;98;104,43
100340;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,84;102,12
100385;TSMv2 - Medikal Sınav Başarısı;1;93,85;91,84;97,86
100445;TSMv2 - Medikal Sınav Başarısı;1;93,85;91,67;97,67
100469;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,92;102,2
100490;TSMv2 - Medikal Sınav Başarısı;1;93,85;89,84;95,72
100532;TSMv2 - Medikal Sınav Başarısı;1;93,85;98;104,43
100561;TSMv2 - Medikal Sınav Başarısı;1;93,85;89,92;95,81
100567;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,92;102,2
100571;TSMv2 - Medikal Sınav Başarısı;1;93,85;97,92;104,33
100600;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,92;102,2
100601;TSMv2 - Medikal Sınav Başarısı;1;93,85;92;98,03
100778;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,84;102,12
100788;TSMv2 - Medikal Sınav Başarısı;1;93,85;100;106,56
100802;TSMv2 - Medikal Sınav Başarısı;1;93,85;100;106,56
101459;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,92;102,2
101543;TSMv2 - Medikal Sınav Başarısı;1;93,85;89,22;95,07
101678;TSMv2 - Medikal Sınav Başarısı;1;93,85;87,84;93,59
101679;TSMv2 - Medikal Sınav Başarısı;1;93,85;89,92;95,81
101688;TSMv2 - Medikal Sınav Başarısı;1;93,85;76;80,98
101695;TSMv2 - Medikal Sınav Başarısı;1;93,85;96;102,29
101976;TSMv2 - Medikal Sınav Başarısı;1;93,85;85,75;91,37
102010;TSMv2 - Medikal Sınav Başarısı;1;93,85;94;100,16
102133;TSMv2 - Medikal Sınav Başarısı;1;93,85;94;100,16
102271;TSMv2 - Medikal Sınav Başarısı;1;93,85;100;106,56
102356;TSMv2 - Medikal Sınav Başarısı;1;93,85;92;98,03
102526;TSMv2 - Medikal Sınav Başarısı;1;93,85;91,67;97,68
102527;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,83;102,11
102529;TSMv2 - Medikal Sınav Başarısı;1;93,85;95,83;102,11
102530;TSMv2 - Medikal Sınav Başarısı;1;93,85;100;106,56
102533;TSMv2 - Medikal Sınav Başarısı;1;93,85;100;106,56
102538;TSMv2 - Medikal Sınav Başarısı;1;93,85;100;106,56
100195;TSMv2 - Medikal Sınav Başarısı;1;94,2;96;101,91
100397;TSMv2 - Medikal Sınav Başarısı;1;94,2;94;99,79
100401;TSMv2 - Medikal Sınav Başarısı;1;94,2;98;104,03
100463;TSMv2 - Medikal Sınav Başarısı;1;94,2;98;104,03
100464;TSMv2 - Medikal Sınav Başarısı;1;94,2;100;106,16
100491;TSMv2 - Medikal Sınav Başarısı;1;94,2;100;106,16
100504;TSMv2 - Medikal Sınav Başarısı;1;94,2;96;101,91
