Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Gerçekleþme (%)
100289;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;114.604.437,60;118.207.939,57;103,14
100454;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;89.827.451,00;95.756.576,00;106,6
100970;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;97.845.148,00;105.379.710,00;107,7
101897;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;106.272.190,00;108.140.733,00;101,76
100264;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;34.056.495,83;30.157.396,28;88,55
100421;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;11.676.647,84;12.859.627,30;110,13
