Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Gerçekleþme (%)
100289;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;114604437,60;118207939,57;103,14
100454;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;89827451,00;95756576,00;106,60
100970;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;97845148,00;105379710,00;107,70
101897;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;106272190,00;108140733,00;101,76
100264;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;34056495,83;30157396,28;88,55
100421;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;11676647,84;12859627,30;110,13
