Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Gerçekleþme (%)
100289;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;114604437,6;118207939,6;103,14
100454;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;89827451;95756576;106,6
100970;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;97845148;105379710;107,7
101897;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;106272190;108140733;101,76
100264;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;34056495,83;30157396,28;88,55
100421;TMv2 - Toplam Net TL Master Kota Realizasyonu;1;11676647,84;12859627,3;110,13
