Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100577;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;371529,791;449277,26;140,5592153
102535;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;35704,11077;42211,6;137,4206893
100166;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;336265,2588;169166,92;58,47523441
100341;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;SIDATRIA;319094,027;205765,97;74,95375705
100121;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;282593,7724;213535,36;83,6363373
101696;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;404201,6957;360211,88;98,63877988
102128;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;325871,3303;469603,59;159,5045388
102254;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;527587,1973;625385,2;131,2022074
100292;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;386629,1803;473281,71;135,4917598
102536;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;61629,2374;64756,58;116,3013889
100527;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;414710,085;354390,55;94,58566611
100799;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;399706,5813;269038,34;74,50075369
100102;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;300494,4102;351694,58;129,5439301
100265;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;390837,4581;319472,74;90,47433865
100514;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;468573,5471;488191,85;115,3189152
100315;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;261726,9082;150781,66;63,76581814
101553;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;184361,5843;183732,25;110,3069185
102540;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;48122,09216;34512,77;79,38219574
100487;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;313231,2903;238994,31;84,45205321
102285;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;479666,554;396541,7;91,50339708
102539;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;24966,977;30440,4;134,9497811
100592;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;379559,6146;362157,51;105,61006
101824;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;423206,2688;268193,7;70,14298931
100669;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;384313,3188;260621,01;75,06055627
100288;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;332544,5797;290061,55;96,5446207
100577;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;420612,1156;305721,16;80,45101196
102535;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;67072,02872;106363,98;175,5257866
100166;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;328168,4687;344091,89;116,0554064
100341;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;454286,3226;361612,47;88,10519723
102642;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;130180,7337;143399,88;117,7198219
102628;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;144633,9414;157921,92;116,6862594
102672;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;102994,0168;94344,4;97,89300362
100321;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;79592,7496;48198,14;64,71490147
102630;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;20391,9226;16788,8;87,98507427
102670;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;76686,62878;31604,28;44,04268407
102671;TSM2022 - Hedef Ürünler Kota Realizasyonu (Net TL) ;1;ZENTICAVIR;124554,0576;97029,26;83,25155662
