Çalýþan Sicil No;Gösterge Adý ;Periyot;Urun;Planlanan;Gerçekleþen;Sonuç 
100759;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;HIRUDOID;34,65%;34,30%;98,97%
100759;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;ELEKTRA PLUS;12,33%;19,18%;155,60%
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;ILIADIN;41,12%;37,46%;91,10%
100759;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;CREBROS;7,40%;7,38%;99,64%
100759;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;MODET;11,31%;10,61%;93,83%
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;APIKOBAL PLUS;15,21%;30,30%;199,25%
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;ACETUDIL;21,34%;13,65%;63,95%
101964;PAZM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;PINIX;9,13%;10,74%;117,63%
