Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100650;TSMv2 - Gelişim İndeksi;1;103,6549333;101,6712028;97,57430257
100540;TSMv2 - Gelişim İndeksi;1;103,6549333;106,5285753;103,36866
100465;TSMv2 - Gelişim İndeksi;1;103,6549333;93,91235716;90,48401225
100138;TSMv2 - Gelişim İndeksi;1;103,6549333;105,2211293;100,4319311
100242;TSMv2 - Gelişim İndeksi;1;103,6549333;100,6700246;97,24538684
100379;TSMv2 - Gelişim İndeksi;1;103,6549333;105,0569898;102,1908812
100502;TSMv2 - Gelişim İndeksi;1;103,6549333;102,3300814;98,63892044
100675;TSMv2 - Gelişim İndeksi;1;103,6549333;97,29993828;93,75447262
100392;TSMv2 - Gelişim İndeksi;1;103,6549333;104,3259965;100,8108841
100658;TSMv2 - Gelişim İndeksi;1;103,6549333;104,1813844;101,2361595
100328;TSMv2 - Gelişim İndeksi;1;103,6549333;111,3801696;108,0904951
100204;TSMv2 - Gelişim İndeksi;1;103,6549333;109,8803336;106,0633124
100668;TSMv2 - Gelişim İndeksi;1;103,6549333;102,5960796;99,59339244
100661;TSMv2 - Gelişim İndeksi;1;103,6549333;103,8347547;100,7999615
100253;TSMv2 - Gelişim İndeksi;1;103,6549333;100,0596401;96,53341182
100525;TSMv2 - Gelişim İndeksi;1;103,6549333;104,3946067;100,6513228
100322;TSMv2 - Gelişim İndeksi;1;103,6549333;103,0632026;99,97277544
100529;TSMv2 - Gelişim İndeksi;1;103,6549333;103,880527;100,5128327
100298;TSMv2 - Gelişim İndeksi;1;103,6549333;98,08065191;94,70447313
100509;TSMv2 - Gelişim İndeksi;1;103,6549333;99,53756554;96,29690421
100522;TSMv2 - Gelişim İndeksi;1;103,6549333;101,2231176;97,50950371
100718;TSMv2 - Gelişim İndeksi;1;103,6549333;100,1352632;94,79163873
100515;TSMv2 - Gelişim İndeksi;1;103,6549333;96,26509237;92,95233386
100333;TSMv2 - Gelişim İndeksi;1;103,6549333;105,2108524;100,3942866
100422;TSMv2 - Gelişim İndeksi;1;103,6549333;113,6880701;110,2985627
100528;TSMv2 - Gelişim İndeksi;1;103,6549333;110,9950125;107,6637755
100584;TSMv2 - Gelişim İndeksi;1;103,6549333;123,0134503;114,4416787
100355;TSMv2 - Gelişim İndeksi;1;103,6549333;101,7795717;97,81636908
100335;TSMv2 - Gelişim İndeksi;1;103,6549333;109,2610287;106,1403492
100766;TSMv2 - Gelişim İndeksi;1;103,6549333;108,1587205;104,7941578
