Çalışan Sicil No;Gösterge Adı;Periyot;Planlanan;Gerçekleşen;Realizasyon
101117;MMv1 - TR Gelişim İndeksi;1;100,00;100,89;100,89
101125;MMv1 - TR Gelişim İndeksi;1;100,00;100,89;100,89
101402;MMv1 - TR Gelişim İndeksi;1;100,00;100,89;100,89
102022;MMv1 - TR Gelişim İndeksi;1;100,00;100,89;100,89
102204;MMv1 - TR Gelişim İndeksi;1;100,00;100,89;100,89
102502;MMv1 - TR Gelişim İndeksi;1;100,00;100,89;100,89
