Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
101487;TSMv2 - Pazar İndeksi;1;100;74,12940626;74,12940626
101553;TSMv2 - Pazar İndeksi;1;100;60,33090743;60,33090743
100453;TSMv2 - Pazar İndeksi;1;100;39,13301045;39,13301045
100315;TSMv2 - Pazar İndeksi;1;100;75,65239157;75,65239157
101795;TSMv2 - Pazar İndeksi;1;100;175,9729096;175,9729096
101952;TSMv2 - Pazar İndeksi;1;100;122,7206841;122,7206841
100327;TSMv2 - Pazar İndeksi;1;100;145,7217705;145,7217705
102404;TSMv2 - Pazar İndeksi;1;100;118,4828901;118,4828901
101950;TSMv2 - Pazar İndeksi;1;100;142,9897821;142,9897821
101940;TSMv2 - Pazar İndeksi;1;100;131,0343198;131,0343198
100539;TSMv2 - Pazar İndeksi;1;100;139,0160153;139,0160153
100503;TSMv2 - Pazar İndeksi;1;100;144,5077931;144,5077931
101691;TSMv2 - Pazar İndeksi;1;100;127,0499834;127,0499834
100459;TSMv2 - Pazar İndeksi;1;100;144,1888964;144,1888964
102386;TSMv2 - Pazar İndeksi;1;100;116,450595;116,450595
101658;TSMv2 - Pazar İndeksi;1;100;135,9498397;135,9498397
100470;TSMv2 - Pazar İndeksi;1;100;122,910442;122,910442
102373;TSMv2 - Pazar İndeksi;1;100;126,1889875;126,1889875
100260;TSMv2 - Pazar İndeksi;1;100;113,4730677;113,4730677
100398;TSMv2 - Pazar İndeksi;1;100;129,0924789;129,0924789
100768;TSMv2 - Pazar İndeksi;1;100;111,1654469;111,1654469
101811;TSMv2 - Pazar İndeksi;1;100;111,7707419;111,7707419
102379;TSMv2 - Pazar İndeksi;1;100;122,5913166;122,5913166
100770;TSMv2 - Pazar İndeksi;1;100;95,87404798;95,87404798
101807;TSMv2 - Pazar İndeksi;1;100;125,2774747;125,2774747
101832;TSMv2 - Pazar İndeksi;1;100;126,3948268;126,3948268
102401;TSMv2 - Pazar İndeksi;1;100;112,4330337;112,4330337
101559;TSMv2 - Pazar İndeksi;1;100;133,1031251;133,1031251
100261;TSMv2 - Pazar İndeksi;1;100;114,4652526;114,4652526
102141;TSMv2 - Pazar İndeksi;1;100;123,2353699;123,2353699
100199;TSMv2 - Pazar İndeksi;1;100;116,1720007;116,1720007
102395;TSMv2 - Pazar İndeksi;1;100;95,3965739;95,3965739
101947;TSMv2 - Pazar İndeksi;1;100;97,54811545;97,54811545
102364;TSMv2 - Pazar İndeksi;1;100;98,84930839;98,84930839
100782;TSMv2 - Pazar İndeksi;1;100;115,9114507;115,9114507
101560;TSMv2 - Pazar İndeksi;1;100;91,46706824;91,46706824
101842;TSMv2 - Pazar İndeksi;1;100;108,8748242;108,8748242
101949;TSMv2 - Pazar İndeksi;1;100;93,87890807;93,87890807
100879;TSMv2 - Pazar İndeksi;1;100;85,11387184;85,11387184
102255;TSMv2 - Pazar İndeksi;1;100;104,5239744;104,5239744
