Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Realizasyon
101455;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;FERROVEN;2938994,00;2804639,00;95,43
101455;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;SAYFREN;2785783,00;2272097,00;81,56
101455;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;SECITA;21511227,00;20942352,00;97,36
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
