Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Realizasyon
102201;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;EVASIF ;12552938,00;13476939,00;107,36
102201;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;SIDATRIA ;6110927,00;8326662,00;136,26
102201;ÜMv2 - Ürün Net Master Kota Realizasyonu;1;ZENTICAVIR;6852485,00;7659484,00;111,78
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
;ÜMv1 - Ürün Net Master Kota Realizasyonu;;;;;
