Sicil;Gösterge Adı;Periyod;Aylık Ort. Çalışan Sayısı;İşten Ayrılan Çalışan Sayısı;Sonuç 
101964;GÜM - Çalışan Devir Oranı (%);1;6,25;2;32
100970;GÜM - Çalışan Devir Oranı (%);1;7,17;1;13,94700139
