Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sapma (%)
101964;GÜM - Secilen Ürün2 Net Master Kota Realizasyonu TL;1;MAGNIS;1313065,16;1538292,44;117,15
100970;GÜM - Secilen Ürün2 Net Master Kota Realizasyonu TL;1;DULOXX;4086483,34;4614669,81;112,93
100970;GÜM - Secilen Ürün2 Net Master Kota Realizasyonu TL;1;SECITA;7752896,76;7882180,01;101,67
