Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
101897;TDv3 - TR Pazar Payı Gelişimi (Brüt TL);1;4,62;4,83;104,42
100264;TDv3 - TR Pazar Payı Gelişimi (Brüt TL);1;7,43;7,68;103,35
100454;TDv3 - TR Pazar Payı Gelişimi (Brüt TL);1;5,39;5,41;100,32
100289;TDv3 - TR Pazar Payı Gelişimi (Brüt TL);1;6,62;7,29;110,13
100421;TDv3 - TR Pazar Payı Gelişimi (Brüt TL);1;5,97;6,21;104,04
100970;TDv3 - TR Pazar Payı Gelişimi (Brüt TL);1;6,73;6,61;98,31
