Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Gerçekleşme (%)
100273;TMv1 - Toplam Net Master Kota Realizasyonu;2;53814004,21;51924657,92;96,49
100289;TMv1 - Toplam Net Master Kota Realizasyonu;2;39526023,02;41703013,68;105,51
100302;TMv1 - Toplam Net Master Kota Realizasyonu;2;18326372,14;16520391,54;90,15
100454;TMv1 - Toplam Net Master Kota Realizasyonu;2;32279033,44;33042574,56;102,37
100546;TMv1 - Toplam Net Master Kota Realizasyonu;2;34297331,96;37954166,64;110,66
101897;TMv1 - Toplam Net Master Kota Realizasyonu;2;43825404,68;38735248,71;88,39
