Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sapma (%)
101964;GÜM - Secilen Ürün1 Net Master Kota Realizasyonu TL;1;ACETUDIL;2279885,715;2719711,063;119,2915524
100970;GÜM - Secilen Ürün1 Net Master Kota Realizasyonu TL;1;EVASIF;3955762,975;4076373,188;103,0489747
