Çalışan Sicil No;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sapma (%)
101964;GÜM - Secilen Ürün2 Net Master Kota Realizasyonu TL;2;MAGNIS;1568459,81;1405267,5;89,59537828
100970;GÜM - Secilen Ürün2 Net Master Kota Realizasyonu TL;2;DULOXX;4139107,303;6743792,266;162,9286649
100970;GÜM - Secilen Ürün2 Net Master Kota Realizasyonu TL;2;SECITA;8635205,796;7595241,63;87,95669506
