PersonnelCode;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100328;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;82283,42;42670,67;51,86
100328;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;420843,91;404391,06;96,09
100328;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;304166,36;352964,84;116,04
100658;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;65229,25;95323,57;146,14
100658;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;611562,55;978808,80;160,05
100658;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;435199,53;495960,17;113,96
100668;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;64721,43;46254,77;71,47
100668;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;702284,11;1012399,83;144,16
100668;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;412922,59;358138,43;86,73
102289;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;36418,29;17167,26;47,14
102289;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;358301,41;303609,60;84,74
102289;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;305480,00;402501,32;131,76
102132;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;52993,93;37736,48;71,21
102132;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;140975,69;38066,32;27,00
102132;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;290270,63;173473,63;59,76
101562;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;50349,00;87152,04;173,10
101562;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;403442,41;342862,59;84,98
101562;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;240805,55;205481,39;85,33
101914;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;39321,02;37490,73;95,35
101914;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;419187,01;321986,64;76,81
101914;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;456476,02;379974,49;83,24
101264;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;63292,81;60715,98;95,93
101264;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;283253,31;261249,55;92,23
101264;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;299668,80;338949,76;113,11
100461;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;52904,70;37989,83;71,81
100461;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;553127,51;666577,22;120,51
100461;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;465790,71;464235,24;99,67
101547;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;44866,50;27882,37;62,15
101547;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;365945,60;359060,03;98,12
