PersonnelCode;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100380;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;152737,86;137326,61;89,91
100380;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;482395,99;539819,49;111,90
100380;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS ;35509,97;28729,76;80,91
100380;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PINIX ;32093,46;33895,40;105,61
100380;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT SURUP;9654,89;15766,37;163,30
101812;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;204729,57;270971,27;132,36
101812;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;799946,64;858357,52;107,30
101812;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS ;60193,05;63907,68;106,17
101812;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PINIX ;39384,38;70177,80;178,19
101812;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT SURUP;18310,85;45894,80;250,64
100617;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;130399,36;98869,40;75,82
100617;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;388530,85;435990,03;112,22
100617;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS ;26054,42;12828,80;49,24
100617;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PINIX ;29647,16;43361,56;146,26
100617;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT SURUP;4885,09;3566,15;73,00
100664;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;192775,19;195822,37;101,58
100664;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;985121,72;1021453,76;103,69
100664;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS ;41500,80;32527,76;78,38
100664;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PINIX ;42221,63;101590,72;240,61
100664;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT SURUP;14913,09;31479,58;211,09
100497;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;153503,68;155816,95;101,51
100497;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;494012,67;528999,23;107,08
100497;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS ;28015,34;22804,88;81,40
100497;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PINIX ;30180,05;46894,32;155,38
100497;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT SURUP;5606,60;4841,99;86,36
100688;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;157316,26;123955,72;78,79
100688;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;735174,29;573708,74;78,04
100688;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS ;35672,35;5519,76;15,47
100688;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PINIX ;29081,92;34645,60;119,13
100688;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT SURUP;11468,02;22876,52;199,48
100384;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;158127,49;212766,21;134,55
100384;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;731274,77;749022,58;102,43
100384;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS ;24347,04;9638,48;39,59
100384;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PINIX ;30576,62;36800,72;120,36
100384;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST FORT SURUP;10520,42;18628,15;177,07
