Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100287;BSMv2 - Kanal Depolar ile Planlanan Günlük Çýkýþ Aksiyonu Kota Realizasyonu (SF);1;23563100,00;29681269,86;125,97
100666;BSMv2 - Kanal Depolar ile Planlanan Günlük Çýkýþ Aksiyonu Kota Realizasyonu (SF);1;33618100,00;39335471,02;117,01
100310;BSMv2 - Kanal Depolar ile Planlanan Günlük Çýkýþ Aksiyonu Kota Realizasyonu (SF);1;26046700,00;29677535,69;113,94
100157;BSMv2 - Kanal Depolar ile Planlanan Günlük Çýkýþ Aksiyonu Kota Realizasyonu (SF);1;18692400,00;23898161,95;127,85
100823;BSMv2 - Kanal Depolar ile Planlanan Günlük Çýkýþ Aksiyonu Kota Realizasyonu (SF);1;20860500,00;24433921,66;117,13
100301;BSMv2 - Kanal Depolar ile Planlanan Günlük Çýkýþ Aksiyonu Kota Realizasyonu (SF);1;16434700,00;18381037,75;111,84
