Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100160;SM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);1;20527000,00;23660446,40;115,26
100160;SM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);2;13518000,00;17331108,86;128,21
100160;SM - Kanal Depolar ile Planlanan Çıkış Aksiyonu Kota Realizasyonu (SF);3;16469000,00;17694428,28;107,44
