Çal??an Sicil No;Gösterge Ad? ;Periyot;Ürün;Planlanan;Gerçekle?en;Sonuç 
101688;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;83225,84;99690,96;119,78
101688;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;183963,00;210168,57;114,25
101691;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;38422,04;46092,27;119,96
101691;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;97412,41;97585,72;100,18
101691;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;30507,39;36240,89;118,79
101692;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;15970,20;21475,90;134,47
101692;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;120168,51;136361,72;113,48
101692;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;98991,82;100664,27;101,69
101692;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;49563,47;66580,68;134,33
101693;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;27393,32;15458,48;56,43
101693;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;167335,93;109957,06;65,71
101693;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;230689,90;213008,20;92,34
101695;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;24564,49;7558,63;30,77
101695;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;64135,11;66951,57;104,39
101695;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;135349,85;84724,59;62,6
101696;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;124899,98;165965,99;132,88
101696;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;35333,83;59267,46;167,74
101696;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;40169,73;63480,00;158,03
101790;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;40896,12;26386,70;64,52
101790;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;16345,89;14519,20;88,82
101790;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;174461,96;149497,94;85,69
101791;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;24706,53;17319,94;70,1
101791;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;140603,39;184328,36;131,1
101791;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;74282,73;71493,24;96,24
101791;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;61758,28;65482,83;106,03
101794;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;29516,10;36601,88;124,01
101794;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;179651,69;145332,67;80,9
101794;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;157729,30;129801,61;82,29
101795;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;22772,41;51821,13;227,56
101795;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;111853,99;120383,39;107,63
101795;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;24498,67;25783,05;105,24
101796;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;20273,08;17914,81;88,37
101796;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;177525,47;139723,88;78,71
101796;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;196263,53;149721,50;76,29
101797;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;30227,43;36970,47;122,31
101797;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;156988,12;131470,27;83,75
101797;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;164475,55;116449,79;70,8
101798;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;16630,72;16667,60;100,22
101798;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;74292,71;31777,29;42,77
101798;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;55443,86;53804,49;97,04
101798;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;33858,09;26758,03;79,03
101800;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;18930,30;24335,85;128,56
101800;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;240853,26;208049,93;86,38
101800;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;12523,58;8311,07;66,36
101800;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;50144,39;55407,62;110,5
101801;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;19942,64;19922,76;99,9
101801;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;217477,75;216915,43;99,74
101801;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;13484,15;18561,88;137,66
101801;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;51389,79;56808,95;110,55
101803;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;64107,81;41199,69;64,27
101803;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;19035,07;16900,64;88,79
101803;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;278323,60;266507,05;95,75
101804;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;16025,30;10975,27;68,49
101804;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;159496,20;255645,51;160,28
101804;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;81305,06;74920,01;92,15
101804;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;58068,53;47742,17;82,22
101805;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;12421,08;9163,37;73,77
101805;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;56926,28;51766,12;90,94
101805;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;56121,66;50428,79;89,86
101805;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;44824,72;33521,43;74,78
101806;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;14418,44;11583,87;80,34
101806;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;118853,26;108808,21;91,55
101806;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;75337,12;68289,93;90,65
101806;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;63395,77;82571,41;130,25
101807;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;26316,94;51510,17;195,73
101807;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;79700,70;95817,61;120,22
101807;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;32304,78;30609,93;94,75
101808;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;15209,61;11949,64;78,57
101808;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;81538,09;72895,96;89,4
101808;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;76323,01;65964,59;86,43
101808;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;63036,40;48337,49;76,68
101810;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;21844,70;19699,62;90,18
101810;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;165897,70;163055,38;98,29
101810;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;144447,22;169637,03;117,44
101811;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;37258,22;25831,60;69,33
101811;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;163146,09;112087,15;68,7
101811;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;33829,96;25985,42;76,81
101812;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;23490,83;60823,07;258,92
101812;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;228661,58;230754,36;100,92
101812;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;22760,71;55422,38;243,5
101812;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;45016,51;54260,50;120,53
101813;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;23071,09;31109,21;134,84
101813;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;224069,86;216010,84;96,4
101813;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;20400,69;28780,77;141,08
101813;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;45783,60;45080,18;98,46
101816;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;13344,01;3798,23;28,46
101816;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;108017,26;110368,33;102,18
101816;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;93996,63;83499,26;88,83
101817;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;23066,24;22169,50;96,11
101817;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;120456,78;103079,52;85,57
101817;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;139204,87;127533,17;91,62
101818;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;21043,48;12764,50;60,66
101818;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;137407,71;129102,79;93,96
101818;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;136303,10;120979,88;88,76
101819;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;33620,90;12192,65;36,27
101819;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;72542,70;55052,78;75,89
101819;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;166840,58;127452,67;76,39
101820;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;53886,25;37811,05;70,17
101820;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;18602,48;7137,68;38,37
101820;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;151978,67;137903,18;90,74
101821;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;30193,68;34488,91;114,23
101821;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;108450,43;85819,94;79,13
101821;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;38881,32;48798,41;125,51
101823;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;35741,85;18132,37;50,73
101823;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;115279,99;90004,62;78,07
101823;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;31734,59;24784,06;78,1
101824;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;139057,70;85389,66;61,41
101824;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;13655,12;20052,71;146,85
101824;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;59639,29;30879,83;51,78
101825;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;23758,59;25139,95;105,81
101825;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;293864,46;248004,07;84,39
101825;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;13948,69;18522,35;132,79
101825;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;47399,22;43628,72;92,05
101826;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;19661,95;12019,17;61,13
101826;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;137372,31;77500,93;56,42
101826;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;108809,97;101757,59;93,52
101826;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;78906,79;53498,53;67,8
101827;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;23398,87;23531,75;100,57
101827;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;217957,21;178996,68;82,12
101827;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;10647,22;19866,68;186,59
101827;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;35771,56;46066,85;128,78
101829;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;27835,62;8103,33;29,11
101829;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;117746,53;87199,60;74,06
101829;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;131465,47;176703,39;134,41
101832;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;42999,18;63426,30;147,51
101832;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;121962,02;109298,69;89,62
101832;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;35254,46;33783,21;95,83
101838;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;34336,57;28075,59;81,77
101838;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;13565,78;10149,75;74,82
101838;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;147552,43;130147,78;88,2
101840;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;28203,94;14926,08;52,92
101840;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;130760,57;102490,20;78,38
101840;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;114147,07;132891,99;116,42
101841;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;17137,80;14989,35;87,46
101841;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;63897,77;68113,91;106,6
101841;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;111685,86;114675,64;102,68
101842;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;37456,91;44037,28;117,57
101842;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;116513,53;93021,73;79,84
101842;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;35892,98;31419,78;87,54
101844;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;28860,86;55652,96;192,83
101844;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;85638,83;108079,32;126,2
101844;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;155168,87;163902,61;105,63
101852;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;26055,08;19903,84;76,39
101852;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;300346,25;230494,80;76,74
101852;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;16418,42;23211,48;141,37
101852;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;67667,05;72285,01;106,82
101854;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;15761,87;12920,59;81,97
101854;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;85442,37;50219,62;58,78
101854;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;62812,33;60758,05;96,73
101854;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;38155,28;28557,65;74,85
101905;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;19257,21;23210,11;120,53
101905;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;224323,23;189251,17;84,37
101905;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;11297,90;11599,06;102,67
101905;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;56794,50;64970,84;114,4
101906;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;23360,99;17464,30;74,76
101906;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;96418,07;79534,29;82,49
101906;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;109028,44;106729,02;97,89
101909;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;26357,03;4060,76;15,41
101909;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;123821,81;120255,36;97,12
101909;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;123347,06;130498,95;105,8
101910;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;27300,73;9577,42;35,08
101910;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;85330,76;84332,58;98,83
101910;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;182867,96;143638,75;78,55
101911;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;24554,51;28397,60;115,65
101911;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;120630,34;88794,07;73,61
101911;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;103871,81;96224,73;92,64
101912;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;15472,83;10196,89;65,9
101912;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;116221,58;154990,01;133,36
101912;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;82025,47;64081,76;78,12
101912;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;49607,72;26914,91;54,26
101914;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;18769,56;2772,81;14,77
101914;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;151840,04;111674,50;73,55
101914;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;182506,41;158754,07;86,99
101915;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;18240,06;18962,30;103,96
101915;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;115578,48;130177,24;112,63
101915;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;96688,16;83497,73;86,36
101915;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;64918,81;74747,95;115,14
101916;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;24519,77;23848,66;97,26
101916;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;216804,38;217930,85;100,52
101916;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;11793,89;9160,97;77,68
101916;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;42395,56;42335,45;99,86
101917;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;15493,08;10304,64;66,51
101917;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;133595,27;88714,06;66,41
101917;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;117076,26;107525,12;91,84
101917;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;67100,76;37113,76;55,31
101918;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;33865,35;46092,31;136,1
101918;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;112602,89;109503,16;97,25
101918;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;194973,70;190593,24;97,75
101919;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;17098,59;13367,27;78,18
101919;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;110611,45;99619,68;90,06
101919;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;90500,95;88014,57;97,25
101919;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;71606,26;69143,07;96,56
101920;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;17030,80;16378,54;96,17
101920;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;126613,67;135116,90;106,72
101920;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;65929,63;58441,89;88,64
101920;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;56490,93;55146,29;97,62
101921;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;15475,89;9976,09;64,46
101921;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;119668,51;82341,85;68,81
101921;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;64351,60;36988,98;57,48
101921;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;28419,81;28949,20;101,86
101923;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;23993,48;26474,85;110,34
101923;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;126622,50;101774,32;80,38
101923;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;190057,32;178820,78;94,09
101924;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;25858,75;16070,90;62,15
101924;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;120859,18;109624,88;90,7
101924;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;122972,25;113648,90;92,42
101925;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;25699,74;6155,03;23,95
101925;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;178280,71;135733,21;76,13
101925;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;186223,65;180439,54;96,89
101926;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;19470,58;9933,00;51,02
101926;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;181835,69;155434,54;85,48
101926;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;11371,65;10735,10;94,4
101926;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;36342,21;38209,37;105,14
101929;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;19875,50;14969,19;75,31
101929;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;181364,07;167448,64;92,33
101929;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;65472,37;61635,08;94,14
101929;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;42120,54;46826,90;111,17
101932;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;26180,62;14007,26;53,5
101932;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;109532,56;89918,57;82,09
101932;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;131420,39;122382,38;93,12
101933;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;23118,21;5068,41;21,92
101933;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;80627,19;56771,74;70,41
101933;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;92546,68;95660,62;103,36
101934;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;19369,24;15713,06;81,12
101934;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;188070,26;173249,35;92,12
101934;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;10274,66;7764,00;75,56
101934;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;37387,83;36087,43;96,52
101935;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;22323,71;17132,06;76,74
101935;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;214784,48;184305,17;85,81
101935;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;13977,82;14929,82;106,81
101935;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;46832,52;60336,41;128,83
101937;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;24755,49;11954,45;48,29
101937;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;66786,88;34234,21;51,26
101937;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;32467,89;26577,70;81,86
101938;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;27136,76;11056,87;40,74
101938;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;95688,85;95774,13;100,09
101938;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;28781,02;22037,96;76,57
101939;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;37702,89;17473,34;46,34
101939;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;148181,96;186059,41;125,56
101939;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;35425,20;37551,30;106
101940;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;35340,80;68370,51;193,46
101940;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;147216,74;136640,12;92,82
101940;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;49692,46;58919,02;118,57
101941;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;30486,15;50526,88;165,74
101941;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;139564,33;139812,73;100,18
101941;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;57765,61;96231,61;166,59
101942;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;26361,43;8836,65;33,52
101942;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;80701,04;73853,37;91,51
101942;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;23441,22;17214,83;73,44
101943;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;38925,99;39814,80;102,28
101943;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;137417,88;140359,26;102,14
101943;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;30359,48;26001,35;85,64
101944;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;33152,15;39732,60;119,85
101944;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;147497,37;157077,03;106,49
101944;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;43696,51;39801,15;91,09
101945;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;34112,31;44542,26;130,58
101945;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;180350,78;77621,23;43,04
