Çal??an Sicil No;Gösterge Ad? ;Periyot;Ürün;Planlanan;Gerçekle?en;Sonuç 
101541;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;20710,64;21852,60;105,51
101541;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;223014,60;166290,34;74,56
101541;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;10521,78;8492,87;80,72
101541;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;56184,98;50530,34;89,94
101542;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;35805,10;23510,21;65,66
101542;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;141729,20;157851,60;111,38
101542;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;41053,04;31481,42;76,68
101543;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;25623,24;47678,51;186,08
101543;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;87047,12;93198,99;107,07
101543;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;200238,93;205487,13;102,62
101546;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;28942,94;18644,65;64,42
101546;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;88356,17;100013,43;113,19
101546;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;31599,54;28333,99;89,67
101547;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;25214,01;11484,26;45,55
101547;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;123832,67;93055,19;75,15
101547;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;142000,80;132171,46;93,08
101548;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA  ;31236,07;17863,42;57,19
101548;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SAYFREN;12171,26;9430,02;77,48
101548;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SECITA;137515,04;111718,74;81,24
101549;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;17791,91;12189,83;68,51
101549;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;115208,03;117968,90;102,4
101549;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;85602,90;62103,51;72,55
101549;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;55009,00;61962,49;112,64
101552;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;21980,58;22614,13;102,88
101552;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;217063,24;203792,42;93,89
101552;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;19567,75;9538,37;48,75
101552;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;29800,32;11326,01;38,01
101553;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;EVASÝF  ;70431,47;63382,48;89,99
101553;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;96522,29;64137,78;66,45
101553;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;25176,62;24737,98;98,26
101555;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;29184,24;5914,25;20,27
101555;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;115008,16;75927,00;66,02
101555;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;33210,30;22926,80;69,04
101558;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;14253,69;11956,43;83,88
101558;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;123176,77;144873,77;117,61
101558;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;75332,51;71581,17;95,02
101558;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;28803,95;31399,22;109,01
101559;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;20443,50;22065,45;107,93
101559;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;143271,53;137561,29;96,01
101559;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;13688,11;17214,00;125,76
101559;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;36023,08;38559,06;107,04
101560;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;26697,17;24424,85;91,49
101560;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;71504,95;70027,45;97,93
101560;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;32269,64;33959,08;105,24
101561;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;21214,04;19435,57;91,62
101561;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;146752,63;134179,86;91,43
101561;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;16061,15;16541,26;102,99
101561;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;39459,14;39482,83;100,06
101562;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;13512,82;22764,61;168,47
101562;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;121389,21;103213,15;85,03
101562;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;97951,16;78886,41;80,54
101564;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;22811,27;14880,58;65,23
101564;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;283682,15;239027,19;84,26
101564;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;17293,37;31488,29;182,08
101564;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;46032,27;37314,65;81,06
101565;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;20758,23;16157,68;77,84
101565;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;208977,67;226686,84;108,47
101565;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;19315,40;25873,00;133,95
101565;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;26762,03;28324,61;105,84
101566;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;32747,29;39759,49;121,41
101566;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;102036,97;86682,46;84,95
101566;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;36838,59;42759,47;116,07
101567;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;38079,52;52829,48;138,73
101567;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;119824,52;117228,27;97,83
101567;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;42972,98;42032,75;97,81
101568;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;21326,39;18309,33;85,85
101568;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;284689,75;417717,10;146,73
101568;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;199579,31;181789,61;91,09
101573;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;28869,46;6807,33;23,58
101573;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;76449,27;66701,56;87,25
101573;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;30118,06;22751,67;75,54
101575;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;21736,43;15672,18;72,1
101575;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;130855,76;106354,61;81,28
101575;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;108352,16;105066,46;96,97
101575;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;68898,55;51484,41;74,72
101654;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;18232,78;12413,88;68,09
101654;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;87531,35;96596,11;110,36
101654;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;81966,12;89035,73;108,63
101654;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;52515,94;40533,61;77,18
101655;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;13866,53;11442,27;82,52
101655;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;93956,68;108497,01;115,48
101655;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;72055,06;85691,25;118,92
101655;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;35672,28;31379,35;87,97
101656;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;CREBROS;17529,29;11794,29;67,28
101656;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ELEKTRA PLUS JEL;117597,44;121616,39;103,42
101656;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;HIRUDOID;96969,31;92485,46;95,38
101656;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MODET;43369,50;28284,53;65,22
101658;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;35753,40;51779,10;144,82
