Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç
102221;PD - Lansman Performansý 1 (Kota Realizasyonu);1;PINIX;3861795,6;4181198,57;108,27
102221;PD - Lansman Performansý 1 (Kota Realizasyonu);1;ECCURY;2537848;581562;22,92
