Çalýþan Sicil No;Gösterge Adý;ÜRÜN;Periyot;Planlanan;Gerçekleþen;Sonuç
102221;PD - Lansman Performansý 1 (Kota Realizasyonu);PINIX;1;3861795,6;4181198,57;108,27
102221;PD - Lansman Performansý 1 (Kota Realizasyonu);ECCURY;1;2537848;581562;22,92
