Çalışan Sicil No;Gösterge Adı ;Periyod;Hedef Ürün;Planlanan;Gerçekleşen;Sonuç 
100690;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;3218039,258;2561448,34;78,39104798
100319;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;2762618,896;2520781,34;89,86413626
100678;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;2002796,28;2575862,92;126,6654523
101980;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;3229097,581;2658991,11;81,09758529
101986;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;APIKOBAL PLUS;4264313,075;4271942,63;98,66168691
100690;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2588683,313;2349078,04;92,54927098
100319;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2308687,413;2496036,4;110,2656547
100678;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2093504,12;2197684,28;107,0646159
101980;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;3175083,671;3336698,1;107,1806091
101986;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLEXO GRUP;2836896,088;2813352,28;101,1428459
100690;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;102110,2328;82181;90,83906066
100319;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;80526,82063;70179,2;98,36448903
100678;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;57963,82698;62997,4;122,6693472
101980;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;93433,01261;79915,6;96,53875459
101986;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;UKRA;126628,6188;113414,6;101,0898554
100302;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;346600,0213;353495,1;151,9873775
100077;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;459089,0103;300461,7;97,5315063
100084;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;580828,5581;324208,5;83,18195888
100493;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;587885,072;342850,2;86,90898601
100234;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;523785,949;304453,8;86,62041563
100419;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;457642,7797;377441,4;122,9067197
100246;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FLUREND;375138,7134;301066,5;119,5978183
100302;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;51989,65206;138105,58;133,1979587
100077;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;64610,13066;106511,96;82,66106786
100084;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;77888,35025;117327,07;75,53165038
100493;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;72798,52362;98959,06;68,16104557
100234;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;73051,96394;96789,61;66,4354832
100419;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;79398,54032;179485,83;113,3498379
100246;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;FORFLU;98767,74534;277207,5;140,7320748
100302;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ILIADIN;4548625,246;6746525,47;115,5191887
100077;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ILIADIN;5796935,747;8257557,62;110,9448761
