Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100796;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MODET;221218,62;283145,93;127,99
100796;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;222112,77;272356,26;122,62
100796;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;2372925,56;2792030,85;117,66
100796;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON;1670154,76;2026763,44;121,35
100784;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;EVASIF;2285054,28;2606901,57;114,08
100784;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;2455937,65;2726266,09;111,01
100784;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;1234117,05;1353383,03;109,66
100162;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;EVASIF;2578130,22;2697081,66;104,61
100162;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;1172960,88;1373937,23;117,13
100162;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;1385404,2;1469007,85;106,03
100198;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;EVASIF;2577256,51;3000339,96;116,42
100198;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;1556787,93;1981095,69;127,26
100198;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;1513130,88;1837887,56;121,46
100074;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;EVASIF;2288360,86;2344195,26;102,44
100074;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;1429908,8;1353926,73;94,69
100074;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;1202334,85;1386489,23;115,32
100087;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;EVASIF;2556917,89;2469830,31;96,59
100087;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA;704022,79;815972,8;115,9
100087;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ZENTICAVIR;1455780,11;1512793,07;103,92
101980;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;1920521,77;1472360,14;76,66
101980;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;APIKOBAL PLUS;3399169,95;2591224,56;76,23
101980;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;4323522,75;4028362,05;93,17
100088;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;2043982,83;1693677,96;82,86
100088;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;APIKOBAL PLUS;2713121,39;3372314,76;124,3
100088;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;3617033,96;3226515,43;89,2
100678;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;1348401,91;1170877,65;86,83
100678;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;APIKOBAL PLUS;1601874,54;1753587,36;109,47
100678;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;2521030,31;2591011,41;102,78
100690;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;1543666,7;982248,06;63,63
100690;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;APIKOBAL PLUS;3141959,34;2403006,48;76,48
100690;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;3123402,32;2992589,8;95,81
100319;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;1750456,8;1479217,49;84,5
100319;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;APIKOBAL PLUS;2184253,06;1980368,64;90,67
100319;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;2781518,97;2760919,93;99,26
101986;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;2087493,58;1876693,73;89,9
101986;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;APIKOBAL PLUS;3482730,14;3370572;96,78
101986;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;3426052,7;3615501,54;105,53
100268;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;1662969,14;1937260,19;116,49
100268;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;3433300,47;3816651,03;111,17
100268;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;986872,66;979295,99;99,23
100295;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;2701301,82;2821006,33;104,43
100295;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;5049289,94;5524232,66;109,41
100295;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;1236102,33;981833,1;79,43
100458;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;1835158,76;2284602,23;124,49
100458;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;3898185,18;4077271,93;104,59
100458;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;912958,35;855868,14;93,75
100586;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;2197900,95;2507620,57;114,09
100586;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;4549803,83;4664619,4;102,52
100586;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;767268,67;630909,69;82,23
100659;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;2410675,17;2684991,09;111,38
100659;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;GYREX;4339180,46;4316198,8;99,47
100659;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS;1054265,79;908572,51;86,18
