Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
102017;ÜPS - Fazla mesai baþarý endeksi (Sorumlu olunan bölümlerdeki üretim personeli, makine çalýþtýran teknik personel için);1;687638;843252;22,63
101083;ÜPS - Fazla mesai baþarý endeksi (Sorumlu olunan bölümlerdeki üretim personeli, makine çalýþtýran teknik personel için);1;129593;271442;109,46
102079;ÜPS - Fazla mesai baþarý endeksi (Sorumlu olunan bölümlerdeki üretim personeli, makine çalýþtýran teknik personel için);1;113990;240948;111,38
