Çalýþan Sicil No;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Gerçekleþme (%)
101964;GÜM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;ACETUDIL-MOL;12,38;14,27;115,31
101964;GÜM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;MAGNIS-MOL;26,70;27,78;104,04
100970;GÜM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;PHOCUSS -ATC;1,36;2,53;186,53
100970;GÜM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;SECITA -ATC;5,60;5,63;100,47
100970;GÜM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;GYREX -ATC;3,97;4,61;116,29
100970;GÜM - Seçilen ürün ATC veya Molekül Pazar indeksi (Stratejik Ürünler);1;EVASIF-ATC;5,65;5,03;89,06
