Çalışan Sicil No;Gösterge Adı ;Periyot;Planlanan;Gerçekleşen;Sonuç 
100467;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;125;124;99,2
101251;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;56;47;83,93
101251;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;112;101;90,18
101251;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;115;105;91,3
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;61;60;98,36
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;126;126;100
100102;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;124;123;99,19
101546;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;88;77;87,5
101546;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;176;170;96,59
101546;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;167;157;94,01
102006;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;30;1;3,33
102006;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;161;145;90,06
102006;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;96;81;84,38
101916;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;85;76;89,41
101916;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;188;185;98,4
101916;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;185;185;100
101017;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;55;19;34,55
101017;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;104;89;85,58
101017;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;93;88;94,62
101276;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;71;59;83,1
101276;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;142;121;85,21
101276;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;141;114;80,85
100770;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;47;29;61,7
100770;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;160;120;75
100770;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;148;111;75
101812;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;71;69;97,18
101812;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;162;141;87,04
101812;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;162;144;88,89
100801;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;47;31;65,96
100801;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;104;90;86,54
100801;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;6;123;85;69,11
101488;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;80;80;100
101488;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;5;88;49;55,68
100541;TSM - Verimli Ziyaret Edilen Eczane Sayısı Realizasyonu;4;101;99;98,02
