Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100398;VA TSM Toplam Grup Kota Realizasyonu;1;135376,56;139236,85;102,85
100398;VA TSM Toplam Grup Kota Realizasyonu;2;165724,85;137154,38;82,76
100398;VA TSM Toplam Grup Kota Realizasyonu;3;154529,2;145095,3;93,9
100398;VA TSM Toplam Grup Kota Realizasyonu;4;142455,23;97996,53;68,79
100398;VA TSM Toplam Grup Kota Realizasyonu;5;163828,46;167369,36;102,16
100398;VA TSM Toplam Grup Kota Realizasyonu;6;159023,3;117154,85;73,67
100467;VA TSM Toplam Grup Kota Realizasyonu;1;128090,29;147931,06;115,49
100467;VA TSM Toplam Grup Kota Realizasyonu;2;158834,11;141848,85;89,31
100467;VA TSM Toplam Grup Kota Realizasyonu;3;145941,36;152300,41;104,36
100467;VA TSM Toplam Grup Kota Realizasyonu;4;134247,76;151772,3;113,05
100467;VA TSM Toplam Grup Kota Realizasyonu;5;154050,06;179550,96;116,55
100467;VA TSM Toplam Grup Kota Realizasyonu;6;149860,14;183828,49;122,67
100465;VA TSM Toplam Grup Kota Realizasyonu;1;127171,91;126115,89;99,17
100465;VA TSM Toplam Grup Kota Realizasyonu;2;155529,44;163582,95;105,18
100465;VA TSM Toplam Grup Kota Realizasyonu;3;145730,63;152681,87;104,77
100465;VA TSM Toplam Grup Kota Realizasyonu;4;131569,65;151396,61;115,07
100465;VA TSM Toplam Grup Kota Realizasyonu;5;153041,76;164005,94;107,16
100465;VA TSM Toplam Grup Kota Realizasyonu;6;147872,51;144841,72;97,95
100076;VA TSM Toplam Grup Kota Realizasyonu;1;97118,81;115086,21;118,5
100076;VA TSM Toplam Grup Kota Realizasyonu;2;119459,85;110551,73;92,54
100076;VA TSM Toplam Grup Kota Realizasyonu;3;110698,72;97668,6;88,23
100076;VA TSM Toplam Grup Kota Realizasyonu;4;101969,68;88345,43;86,64
100103;VA TSM Toplam Grup Kota Realizasyonu;1;117797,87;147136,43;124,91
100103;VA TSM Toplam Grup Kota Realizasyonu;2;146391,13;155072,48;105,93
100103;VA TSM Toplam Grup Kota Realizasyonu;3;134742,85;142640,5;105,86
100103;VA TSM Toplam Grup Kota Realizasyonu;4;124174,72;113079,35;91,06
100103;VA TSM Toplam Grup Kota Realizasyonu;5;141825,52;154148,55;108,69
100103;VA TSM Toplam Grup Kota Realizasyonu;6;136963,47;159218,38;116,25
100250;VA TSM Toplam Grup Kota Realizasyonu;1;106534,06;138832,8;130,32
100250;VA TSM Toplam Grup Kota Realizasyonu;2;133382,61;152158,86;114,08
100250;VA TSM Toplam Grup Kota Realizasyonu;3;121987,2;127358;104,4
100250;VA TSM Toplam Grup Kota Realizasyonu;4;112836,43;130269,6;115,45
100250;VA TSM Toplam Grup Kota Realizasyonu;5;129452,48;151935,81;117,37
100250;VA TSM Toplam Grup Kota Realizasyonu;6;125176,87;144315,2;115,29
100654;VA TSM Toplam Grup Kota Realizasyonu;1;94977,59;112607,13;118,56
100654;VA TSM Toplam Grup Kota Realizasyonu;2;115970,97;127018,48;109,53
100654;VA TSM Toplam Grup Kota Realizasyonu;3;108051,18;112942,89;104,53
100654;VA TSM Toplam Grup Kota Realizasyonu;4;100196,46;102837,81;102,64
100654;VA TSM Toplam Grup Kota Realizasyonu;5;115243,08;113348,73;98,36
100654;VA TSM Toplam Grup Kota Realizasyonu;6;110332,07;99474,09;90,16
100662;VA TSM Toplam Grup Kota Realizasyonu;1;106309,99;136079,94;128
100662;VA TSM Toplam Grup Kota Realizasyonu;2;131123,23;106728,3;81,4
100662;VA TSM Toplam Grup Kota Realizasyonu;3;122422,97;130148,59;106,31
100662;VA TSM Toplam Grup Kota Realizasyonu;4;112556,95;118746,52;105,5
100662;VA TSM Toplam Grup Kota Realizasyonu;5;129457,43;129795,2;100,26
100662;VA TSM Toplam Grup Kota Realizasyonu;6;125130,8;119236,34;95,29
100581;VA TSM Toplam Grup Kota Realizasyonu;1;123904,64;133154,74;107,47
100581;VA TSM Toplam Grup Kota Realizasyonu;2;152051,39;116863,65;76,86
100581;VA TSM Toplam Grup Kota Realizasyonu;3;140634,17;149223,47;106,11
100581;VA TSM Toplam Grup Kota Realizasyonu;4;128425,7;139057,67;108,28
100581;VA TSM Toplam Grup Kota Realizasyonu;5;148247,79;154672,38;104,33
100581;VA TSM Toplam Grup Kota Realizasyonu;6;142794,09;144970,4;101,52
100595;VA TSM Toplam Grup Kota Realizasyonu;1;149095,14;168259,41;112,85
100595;VA TSM Toplam Grup Kota Realizasyonu;2;185239,03;191679,49;103,48
100595;VA TSM Toplam Grup Kota Realizasyonu;3;171837,89;178321,02;103,77
100595;VA TSM Toplam Grup Kota Realizasyonu;4;156387,96;168045,65;107,45
100595;VA TSM Toplam Grup Kota Realizasyonu;5;180234,15;190205,9;105,53
100595;VA TSM Toplam Grup Kota Realizasyonu;6;173747,64;188510,99;108,5
100272;VA TSM Toplam Grup Kota Realizasyonu;1;118468,05;125229,34;105,71
100272;VA TSM Toplam Grup Kota Realizasyonu;2;148581,4;116053,49;78,11
100272;VA TSM Toplam Grup Kota Realizasyonu;3;135847,01;138527,38;101,97
100272;VA TSM Toplam Grup Kota Realizasyonu;4;124123,72;80915,95;65,19
100272;VA TSM Toplam Grup Kota Realizasyonu;5;143360,2;146697,03;102,33
100272;VA TSM Toplam Grup Kota Realizasyonu;6;138484,66;137203,26;99,07
100293;VA TSM Toplam Grup Kota Realizasyonu;1;132654,29;115811,04;87,3
100293;VA TSM Toplam Grup Kota Realizasyonu;2;163704,25;112450,18;68,69
100293;VA TSM Toplam Grup Kota Realizasyonu;3;151114,19;104486,26;69,14
100293;VA TSM Toplam Grup Kota Realizasyonu;4;138297,57;86340,02;62,43
100293;VA TSM Toplam Grup Kota Realizasyonu;5;159538,6;120249,43;75,37
100293;VA TSM Toplam Grup Kota Realizasyonu;6;154108,42;107705,64;69,89
100358;VA TSM Toplam Grup Kota Realizasyonu;1;147273,15;155174,68;105,37
100358;VA TSM Toplam Grup Kota Realizasyonu;2;182557,74;135931,22;74,46
100358;VA TSM Toplam Grup Kota Realizasyonu;3;168703,6;125954,99;74,66
