Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
101791;VA TSM Toplam Grup Kota Realizasyonu;5;140654,65;125922,08;89,53
101791;VA TSM Toplam Grup Kota Realizasyonu;6;136878,54;150592,17;110,02
101798;VA TSM Toplam Grup Kota Realizasyonu;5;99821,08;83401,67;83,55
101798;VA TSM Toplam Grup Kota Realizasyonu;6;96337,44;94317,44;97,9
101799;VA TSM Toplam Grup Kota Realizasyonu;5;127897,87;94105,97;73,58
101799;VA TSM Toplam Grup Kota Realizasyonu;6;123684,03;112383,27;90,86
101804;VA TSM Toplam Grup Kota Realizasyonu;5;160986,49;146223,96;90,83
101804;VA TSM Toplam Grup Kota Realizasyonu;6;156917,9;162967,67;103,86
101805;VA TSM Toplam Grup Kota Realizasyonu;5;118768,32;94018,69;79,16
101805;VA TSM Toplam Grup Kota Realizasyonu;6;112853,6;100164,69;88,76
101806;VA TSM Toplam Grup Kota Realizasyonu;5;138728,79;119917,24;86,44
101806;VA TSM Toplam Grup Kota Realizasyonu;6;134006,04;135531,3;101,14
101807;VA TSM Toplam Grup Kota Realizasyonu;5;114899,27;125423,19;109,16
101807;VA TSM Toplam Grup Kota Realizasyonu;6;110082,61;109725,08;99,68
101808;VA TSM Toplam Grup Kota Realizasyonu;5;114274,18;84252,35;73,73
101808;VA TSM Toplam Grup Kota Realizasyonu;6;110663,08;95919,12;86,68
101809;VA TSM Toplam Grup Kota Realizasyonu;5;106557,52;88631,15;83,18
101809;VA TSM Toplam Grup Kota Realizasyonu;6;102602,4;94062,03;91,68
101814;VA TSM Toplam Grup Kota Realizasyonu;5;154422,56;145079,3;93,95
101814;VA TSM Toplam Grup Kota Realizasyonu;6;149142,02;163796,07;109,83
101826;VA TSM Toplam Grup Kota Realizasyonu;5;135473,12;105770,52;78,07
101826;VA TSM Toplam Grup Kota Realizasyonu;6;131113,55;109748,33;83,7
101842;VA TSM Toplam Grup Kota Realizasyonu;5;170894,68;170466,58;99,75
101842;VA TSM Toplam Grup Kota Realizasyonu;6;165979,08;142836,74;86,06
101843;VA TSM Toplam Grup Kota Realizasyonu;5;94116,92;62007,58;65,88
101843;VA TSM Toplam Grup Kota Realizasyonu;6;120469,38;65370,13;54,26
101854;VA TSM Toplam Grup Kota Realizasyonu;5;110314,34;76082,21;68,97
101854;VA TSM Toplam Grup Kota Realizasyonu;6;106652,15;71197,58;66,76
