Çalýþan Sicil No;Gösterge Adý ;Periyot;Urun;Planlanan;Gerçekleþen;Sonuç 
102221;PD - Lansman Performansý 2 (Seçilen ürün ATC veya Molekül Pazar indeksi (Lansman Ürünler));1;SIDATRIA;1,95%;3,89%;199,14%
102221;PD - Lansman Performansý 2 (Seçilen ürün ATC veya Molekül Pazar indeksi (Lansman Ürünler));1;ELEKTRA PLUS;12,33%;19,18%;155,60%
102221;PD - Lansman Performansý 2 (Seçilen ürün ATC veya Molekül Pazar indeksi (Lansman Ürünler));1;APIKOBAL PLUS;15,21%;30,30%;199,25%
102221;PD - Lansman Performansý 2 (Seçilen ürün ATC veya Molekül Pazar indeksi (Lansman Ürünler));1;PINIX;14,14%;11,01%;77,89%
